CS,ELE,SL,AMP,AMT,AME,NDVI,NL,POP,GDP,DTW,DTG,DTH,DTC
264.75 ,2271.00 ,36.02 ,940.67 ,13.51 ,1020.98 ,0.62 ,0.00 ,0.09 ,33.52 ,28457.82 ,29633.21 ,29611.61 ,3873.95 
264.75 ,2707.25 ,28.81 ,932.85 ,10.15 ,981.75 ,0.60 ,0.00 ,0.10 ,33.89 ,21580.72 ,37391.54 ,30057.40 ,2971.11 
264.75 ,2515.50 ,30.99 ,924.31 ,10.40 ,998.50 ,0.61 ,0.00 ,0.21 ,7.05 ,8695.98 ,37623.50 ,3731.96 ,14370.37 
264.75 ,1325.00 ,14.71 ,813.69 ,19.98 ,1309.78 ,0.47 ,0.61 ,56.77 ,702.82 ,2215.29 ,3386.37 ,1650.00 ,25.00 
189.77 ,2512.75 ,30.70 ,883.09 ,11.32 ,1003.99 ,0.54 ,0.00 ,0.14 ,1.89 ,4373.50 ,19073.74 ,3827.21 ,3913.11 
264.75 ,1692.50 ,36.48 ,871.81 ,17.03 ,1157.28 ,0.63 ,0.00 ,0.88 ,40.34 ,12459.84 ,44558.14 ,39667.46 ,476.99 
175.54 ,1423.00 ,16.57 ,854.45 ,18.72 ,1298.36 ,0.45 ,0.00 ,0.52 ,549.17 ,3150.79 ,9892.80 ,1904.60 ,3070.42 
264.75 ,2454.76 ,31.11 ,885.06 ,14.15 ,999.27 ,0.61 ,0.00 ,0.05 ,361.66 ,8341.71 ,14942.07 ,6983.92 ,13080.13 
167.47 ,1229.75 ,6.55 ,815.25 ,19.96 ,1339.07 ,0.51 ,0.00 ,1.40 ,43.15 ,1996.87 ,5750.43 ,2981.19 ,2065.79 
264.75 ,3072.75 ,16.71 ,892.11 ,8.17 ,909.90 ,0.56 ,0.00 ,0.04 ,5.74 ,10104.83 ,34747.77 ,11709.29 ,6547.33 
259.15 ,2279.28 ,28.01 ,854.96 ,12.29 ,1082.42 ,0.54 ,0.00 ,0.15 ,5.19 ,20859.69 ,22605.50 ,16452.39 ,3216.94 
264.75 ,2882.00 ,34.63 ,962.30 ,9.34 ,910.82 ,0.62 ,0.00 ,0.06 ,6.48 ,11709.29 ,33697.59 ,10071.12 ,25730.67 
264.75 ,3195.00 ,20.80 ,875.28 ,7.04 ,925.43 ,0.64 ,0.00 ,0.04 ,5.08 ,16298.08 ,31909.37 ,19683.69 ,9569.09 
264.75 ,3331.25 ,24.86 ,889.27 ,7.43 ,876.29 ,0.56 ,0.00 ,0.13 ,6.31 ,10759.53 ,39209.79 ,27673.95 ,7487.82 
220.15 ,2706.25 ,36.84 ,844.58 ,12.71 ,1085.25 ,0.65 ,0.00 ,0.07 ,1.51 ,4631.14 ,58452.78 ,55271.40 ,12954.83 
220.15 ,3608.25 ,8.77 ,898.79 ,5.36 ,805.16 ,0.57 ,0.00 ,0.02 ,5.36 ,11576.16 ,25671.14 ,5636.27 ,6071.86 
