Y,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13
264.75,2271,36.02,930.9,13.83,1071.88,0.63,0,0.09,345.82,28457.82,29633.21,29611.61,3873.95
264.75,2707.25,28.81,924.64,11.84,1029.97,0.71,0,0.09,355.05,21580.72,37391.54,30057.4,2971.11
264.75,2515.5,30.99,978.93,12.23,1054.39,0.7,0,0.35,169,8695.98,37623.5,3731.96,14370.37
264.75,1325,14.71,838.17,20.56,1374.16,0.46,14.04,41.87,25176.74,2215.29,3386.37,1650,25
164.78,2512.75,30.7,837.68,11.57,1060.99,0.64,0,0.17,52.42,4373.5,19073.74,3827.21,3913.11
264.75,1692.5,36.48,856.82,17.86,1209.55,0.71,0,0.3,358.29,12459.84,44558.14,39667.46,476.99
18.48,1423,16.57,871.44,20.04,1356.57,0.49,2.03,0.41,22045.26,3150.79,9892.8,1904.6,3070.42
264.75,2454.76,31.11,881.99,13.39,1063.81,0.67,0,0.08,1185.21,8341.71,14942.07,6983.92,13080.13
164.78,1229.75,6.55,849.25,20.69,1399.56,0.49,0,0.59,393.95,1996.87,5750.43,2981.19,2065.79
264.75,3072.75,16.71,842.76,9,964.3,0.68,0,0.07,169.48,10104.83,34747.77,11709.29,6547.33
261.61,2279.28,28.01,794.94,13.04,1138.5,0.64,0,0.17,121,20859.69,22605.5,16452.39,3216.94
264.75,2882,34.63,995.02,8.89,962.6,0.68,0,0.08,166.55,11709.29,33697.59,10071.12,25730.67
264.75,3195,20.8,816.29,8.47,981.69,0.75,0,0.06,118.49,16298.08,31909.37,19683.69,9569.09
264.75,3331.25,24.86,824.9,7.39,932.69,0.57,0,0.11,115.39,10759.53,39209.79,27673.95,7487.82
220.15,2706.25,36.84,744.09,12.64,1146.91,0.67,0,0.08,43.48,4631.14,58452.78,55271.4,12954.83
220.15,3608.25,8.77,853.73,6.04,858.38,0.61,0,0.04,136,11576.16,25671.14,5636.27,6071.86
264.75,1539.5,15.79,818.9,18.28,1227.69,0.58,0,0.16,1189.43,5985.61,18847.48,6166.64,6772.56
175.54,3861,6.55,856.65,4.99,850.41,0.61,0,0.03,128.16,9930.13,24718.57,9053.59,9175.38
189.77,2412.75,37.73,944.76,13.18,1040.39,0.64,0,0.07,764.25,5062.36,23661.52,19839.54,5454.13
264.75,2984.25,17.35,796.71,9.82,1051.87,0.71,0,0.26,154.74,5639.81,44459.05,32066.3,2758.17
264.75,1453.25,14.42,805.51,18.91,1286.33,0.58,0,0.36,1208.24,6779.93,18450.68,2351.06,2804.91
264.75,2586.25,23.33,832.67,11.99,1109.21,0.62,0,0.55,179.28,21769.42,29225.46,1757.13,6473.6
175.54,2036.96,35.12,758.63,13.84,1165.06,0.62,0,0.14,54.63,6518.1,55353.69,52941.58,12969.18
264.75,1450.5,20.08,862.69,18.54,1215.86,0.66,0,0.75,453.38,14326.46,40127.64,35133,1351.85
264.75,2810.54,17.17,823.69,10.79,1049.62,0.7,0,0.07,208.2,38394.96,22160.62,13303.37,8659.56
239.76,1946.75,24.05,1003.74,14.36,1091.48,0.66,0,0.22,217.31,5614.94,26167.3,14157.24,20053.62
0.19,1189,1.4,903.29,18.51,1181.94,0.55,0,0,473.63,85.36,35183.34,18953.3,4839.68
175.54,1801.75,24.21,927.73,15.95,1145.7,0.72,0,0.15,370.28,10350.24,43186.43,28014.77,295.81
242.45,3014.75,6.36,853.47,9.89,982.1,0.75,0,0.12,147.55,11247.56,33438.41,13141.82,10433.96
189.77,2455.5,19.89,861.6,12.12,1093.63,0.58,0,0.41,85.33,1544.33,14879.77,8191.92,11023.95
