CS,DEM,SL,AMP,AMT,AME,NDVI,NL,POP,GDP
40.00 ,1377.45 ,20.91 ,723.1833293,20.63402812,1415.520833,6087.182939,0,0.754216611,233.6356723
41.88 ,1310.23 ,22.91 ,721.0666504,20.21927134,1338.75,5749.426951,0,0.387401879,934.889384
47.11 ,1793.27 ,19.92 ,760.4729411,17.40156237,1275.583333,6611.886152,0,0.269636542,228.7978032
70.12 ,1991.78 ,19.60 ,788.8208415,16.12048626,1201.5,6940.598131,0,0.347863436,216.3236198
42.96 ,1884.52 ,8.26 ,783.5520833,17.08732605,1266.125,6225.741723,0,0.916643361,236.1547928
45.04 ,1614.16 ,14.08 ,754.5812378,18.86493047,1347.854167,5656.427225,0,0.647186498,248.6810061
45.53 ,1574.92 ,17.76 ,747.354187,19.42187436,1362.770833,6094.022688,0,0.485569249,226.4137166
67.46 ,1738.16 ,16.67 ,778.6874797,18.44392395,1305.333333,6379.777979,0,0.474224319,211.7075882
41.94 ,1139.64 ,17.71 ,717.083313,21.51614571,1430.75,5451.654696,0,0.507446478,235.770827
43.90 ,1551.88 ,22.22 ,753.5625,18.89218648,1245.916667,6339.015861,0,0.591160824,1159.062836
54.28 ,1437.50 ,20.96 ,735.7562256,19.10815938,1318.875,6483.631692,0,0.338979582,315.0655797
59.20 ,1592.01 ,23.88 ,754.8187459,17.89982669,1267,6798.558523,0,0.337344428,224.1730703
52.58 ,1949.65 ,8.96 ,798.3604126,16.55225754,1235.458333,6356.307597,0,0.906113346,221.1889559
36.97 ,1780.76 ,8.33 ,785.5604451,17.82899284,1300.604167,5586.473843,0.07473958,0.891927242,247.9227791
33.23 ,1730.19 ,7.30 ,778.2041626,18.39461772,1340.6875,6040.606273,0,0.760473053,227.025926
65.50 ,1682.58 ,15.26 ,775.9291789,18.69843674,1314.770833,6108.54053,0,0.42414103,213.2890867
32.25 ,1194.99 ,18.32 ,729.1749878,21.1017367,1415.145833,5488.255532,0,0.452464402,226.7529767
50.66 ,1641.30 ,24.80 ,766.9854126,19.32291603,1329.041667,6516.963603,0,0.291016653,224.3567187
50.63 ,1845.99 ,9.05 ,783.4375,16.88437525,1165.583333,6449.403207,0.006269791,1.419294993,1243.703979
55.22 ,1604.96 ,20.30 ,749.1062012,18.71354167,1255.875,6606.241331,0,0.571781337,1077.407389
41.09 ,1274.71 ,27.19 ,729.1687419,19.86545118,1350.479167,6157.369043,0.00958601,0.581285775,659.9682922
55.30 ,1894.21 ,16.15 ,794.9875081,16.62013912,1235.520833,6237.487308,0.524135411,1.211380959,248.260287
45.29 ,1879.13 ,8.00 ,806.3812459,16.55347252,1199.729167,5860.938335,0.16710937,1.018385053,259.6209615
50.93 ,1631.55 ,14.95 ,775.0104167,18.48749987,1310.791667,5884.229521,0,0.568514168,221.1157646
76.30 ,1725.28 ,16.91 ,791.9333496,18.5994784,1306.5,6180.760265,0,0.399052213,206.978583
31.41 ,1160.17 ,17.42 ,736.7000122,21.27812449,1400.0625,5437.761755,0,0.423097819,232.7596614
49.64 ,1410.36 ,22.91 ,750.6708577,20.28697904,1390.354167,5983.312153,0,0.190282231,218.3741926
60.59 ,1657.72 ,22.81 ,783.4729411,18.75347265,1337.395833,6348.691126,0,0.230181629,219.6197726
66.57 ,1833.03 ,11.98 ,792.8520711,16.50920073,1133.666667,6948.21373,0.053098957,0.426426739,1130.730275
