CS,ELE_qt7,SL_qt7,AMP_gmt7,AMT_uni6,AME_jnb7,NDVI_qt7,NL_std6,POP_qt7,GDP_qt7,DTW_std6,DTG_std7,DTH_std6,DTC_qt7
264.75,2,6,4,4,5,5,1,3,4,5,2,4,2
264.75,3,5,4,4,5,5,1,3,4,4,2,4,2
264.75,3,5,4,4,5,6,1,4,3,3,2,2,5
264.75,2,2,3,5,6,1,6,6,6,2,1,2,0
189.77,3,5,4,4,5,4,1,3,2,2,2,2,2
264.75,2,6,4,5,6,6,1,4,5,3,2,4,0
123.19,2,3,4,5,6,1,1,4,6,2,1,2,2
264.75,3,5,4,4,5,5,1,3,6,3,2,2,5
167.47,2,1,3,5,6,3,1,5,5,2,1,2,1
264.75,3,3,4,3,4,5,1,2,3,3,2,2,3
259.15,2,5,4,4,5,4,1,3,3,4,2,3,2
264.75,3,6,4,4,4,5,1,3,3,3,2,2,6
264.75,3,4,4,3,4,6,1,2,3,4,2,3,4
264.75,3,4,4,3,4,4,1,3,3,3,2,3,3
220.15,3,6,4,4,5,6,1,3,2,2,3,5,5
220.15,4,1,4,3,3,5,1,2,3,3,2,2,3
264.75,2,3,3,5,6,5,1,3,6,2,2,2,3
175.54,4,1,4,3,3,5,1,2,3,3,2,2,4
164.78,3,6,4,4,5,4,1,3,5,2,2,3,3
264.75,3,3,4,4,5,6,1,3,3,2,2,4,2
264.75,2,2,3,5,6,5,1,4,6,2,2,2,2
264.75,3,4,4,4,5,4,1,4,3,4,2,2,3
175.54,2,6,4,4,5,5,1,3,2,2,3,5,5
264.75,2,3,4,5,6,5,1,4,4,3,2,4,1
264.75,3,3,4,4,5,5,1,2,3,6,2,2,4
195.15,2,4,4,4,5,5,1,4,3,2,2,2,5
0.19,2,0,4,5,6,4,1,0,4,1,2,3,3
175.54,2,4,4,4,6,6,1,3,4,3,2,3,0
220.15,3,1,4,4,4,6,1,3,3,3,2,2,4
164.78,3,3,4,4,5,2,1,4,2,2,2,2,4
164.78,3,1,4,4,6,1,1,5,3,3,2,2,4
0.19,3,0,4,4,4,1,1,0,3,1,2,4,2
264.75,2,4,3,5,6,5,1,4,6,2,2,2,2
220.15,3,6,4,4,4,6,1,3,4,4,2,3,4
167.47,2,2,4,4,6,6,1,3,4,5,2,4,0
220.15,2,4,4,5,5,6,1,3,4,2,2,2,1
172.85,2,4,4,5,6,4,1,4,3,1,2,2,5
264.75,3,4,4,4,5,5,1,3,3,3,2,3,2
164.78,2,1,4,5,6,2,1,4,5,2,2,2,2
264.75,3,1,4,4,4,4,1,3,4,5,2,3,3
264.75,2,4,4,4,5,5,1,4,4,2,2,3,0
264.75,3,1,4,4,6,2,1,4,3,3,2,2,5
175.54,3,1,4,4,5,2,1,4,3,3,2,2,5
264.75,2,3,4,5,6,6,1,3,6,3,1,2,3
197.84,2,4,4,5,6,6,1,3,3,3,2,2,6
189.77,2,2,4,4,6,5,1,4,4,4,2,4,2
164.78,3,0,4,4,5,0,1,5,0,2,3,4,1
264.75,3,6,4,3,3,5,1,3,2,2,2,2,3
264.01,2,5,4,4,6,4,1,3,2,2,3,5,5
167.47,2,2,3,5,6,1,3,6,6,2,1,2,0
