CS,ELE_qt7,SL_qt7,AMP_gmt7,AMT_jnb7,AME_qt7,NDVI_qt7,NL_std6,POP_std6,GDP_qt7,DTW_std6,DTG_qt7,DTH_qt7,DTC_qt7
264.75,2,6,4,5,6,4,1,1,4,5,3,5,2
264.75,3,5,4,4,5,6,1,1,4,4,4,5,2
264.75,3,5,4,4,6,5,1,1,3,3,4,1,5
264.75,2,2,4,6,6,1,6,6,6,2,0,0,0
164.78,3,5,4,4,6,4,1,1,2,2,2,1,2
264.75,2,6,4,6,6,6,1,1,4,3,5,6,0
18.48,2,3,4,6,6,2,2,1,6,2,0,1,2
264.75,3,5,4,5,6,5,1,1,5,3,1,2,5
164.78,2,1,4,6,6,2,1,1,4,2,0,1,1
264.75,3,3,4,4,3,5,1,1,3,3,4,3,3
261.61,2,5,3,5,6,4,1,1,3,4,2,4,2
264.75,3,6,4,4,3,5,1,1,3,3,4,3,6
264.75,3,4,3,4,3,6,1,1,3,4,4,5,4
264.75,3,4,3,3,3,3,1,1,3,3,5,5,3
220.15,3,6,3,5,6,5,1,1,2,2,6,6,5
220.15,4,1,4,3,2,3,1,1,3,3,3,2,3
264.75,2,3,3,6,6,3,1,1,5,2,2,2,3
175.54,4,1,4,3,2,3,1,1,3,3,3,3,4
189.77,3,6,4,5,5,4,1,1,5,2,3,5,3
264.75,3,3,3,4,5,6,1,1,3,2,5,6,2
264.75,2,2,3,6,6,3,1,1,5,2,2,1,2
264.75,3,4,4,4,6,4,1,1,3,4,3,1,3
175.54,2,6,3,5,6,4,1,1,2,2,6,6,5
264.75,2,3,4,6,6,4,1,1,4,3,5,6,1
264.75,3,3,3,4,5,5,1,1,3,6,2,4,4
239.76,2,4,4,5,6,4,1,1,4,2,3,4,5
0.19,2,0,4,6,6,2,1,1,4,1,4,5,3
175.54,2,4,4,5,6,6,1,1,4,3,5,5,0
242.45,3,1,4,4,3,6,1,1,3,3,4,4,4
189.77,3,3,4,4,6,3,1,1,3,2,1,3,4
164.78,3,1,4,5,6,2,1,1,3,3,1,1,4
0.19,3,0,3,4,4,2,1,1,3,1,5,6,2
264.75,2,4,3,6,6,4,1,1,5,2,0,0,2
220.15,3,6,4,4,3,4,1,1,4,4,4,5,4
167.47,2,2,4,6,6,6,1,1,4,5,4,6,0
242.45,2,4,4,6,6,6,1,1,5,2,4,2,1
175.54,2,4,5,6,6,3,1,1,4,1,3,3,5
264.75,3,4,3,4,5,5,1,1,3,3,5,5,2
164.78,2,1,4,6,6,3,1,1,4,2,4,1,2
264.75,3,1,4,4,3,4,1,1,4,5,4,5,3
264.75,2,4,4,5,6,5,1,1,4,2,2,4,0
264.75,3,1,4,5,6,2,1,1,3,3,1,0,5
175.54,3,1,4,4,6,3,1,1,3,3,2,3,5
264.75,2,3,4,6,6,5,1,1,5,3,0,1,3
197.84,2,4,4,6,6,5,1,1,3,3,4,0,6
189.77,2,2,4,5,6,4,1,1,4,4,5,6,2
164.78,3,0,3,4,6,0,1,1,3,2,6,6,1
264.75,3,6,4,3,3,5,1,1,2,2,2,2,3
264.75,2,5,3,5,6,3,1,1,2,2,6,6,5
18.48,2,2,3,6,6,0,6,6,6,2,0,1,0
164.78,2,1,3,5,6,4,1,1,3,3,4,5,2
264.75,3,1,4,4,3,5,1,1,3,2,0,3,4
264.75,2,1,4,6,6,1,1,1,4,2,4,2,2
264.75,3,4,3,3,3,5,1,1,3,3,4,5,4
264.75,2,3,4,5,6,6,1,1,5,3,2,1,5
264.75,3,4,3,4,5,4,1,1,3,3,3,4,2
214.76,2,5,4,6,6,6,1,1,3,2,3,3,6
220.15,3,6,4,4,3,4,1,1,4,4,4,5,4
264.75,3,6,3,4,4,6,1,1,3,5,2,0,4
242.45,2,6,4,6,6,3,1,1,3,1,4,3,4
132.47,2,6,4,6,6,5,1,1,5,1,5,5,5
175.54,2,2,4,6,6,0,3,2,6,1,0,0,1
175.54,2,1,4,6,6,1,1,1,5,1,2,0,4
242.45,4,1,4,3,3,3,1,1,3,3,4,3,5
164.78,2,2,4,6,6,4,1,1,3,2,4,2,4
264.75,2,4,4,6,6,3,1,1,4,3,4,6,0
264.75,2,4,4,5,6,0,1,1,5,3,2,3,3
164.78,2,4,3,5,6,0,1,1,3,1,6,6,5
167.47,2,2,4,6,6,4,1,1,4,4,5,6,1
264.75,3,5,4,4,6,3,1,1,3,3,1,3,3
264.75,3,2,4,5,6,2,1,1,3,2,2,4,5
242.45,3,2,4,4,4,4,1,1,4,5,4,5,2
264.75,2,3,4,5,6,6,1,1,4,3,5,4,2
264.75,3,4,4,4,6,5,1,1,3,5,4,3,3
239.76,3,5,4,4,3,6,1,1,3,3,5,5,6
264.75,2,3,4,6,6,3,1,1,5,2,0,0,3
264.75,2,3,4,6,6,6,1,1,4,3,5,6,4
220.15,2,4,5,5,6,5,1,1,5,3,1,0,4
175.54,3,1,4,4,3,5,1,1,4,3,3,3,4
264.75,2,3,4,5,6,6,1,1,5,2,2,3,4
264.75,3,4,3,4,3,4,1,1,3,3,5,5,3
175.54,4,4,4,3,2,5,1,1,3,4,3,2,6
264.75,3,5,4,4,3,6,1,1,3,4,4,1,6
132.47,3,5,4,4,4,6,1,1,3,3,4,5,6
220.15,5,3,4,2,1,3,1,1,3,3,4,6,6
264.75,3,5,4,5,4,6,1,1,5,2,2,4,3
214.76,2,4,4,5,6,5,1,1,3,2,4,2,5
197.84,3,3,4,4,3,2,1,1,3,3,1,4,5
264.75,3,5,3,5,6,3,1,1,3,4,3,0,2
264.75,3,6,3,4,6,4,1,1,3,4,3,1,0
264.75,2,5,4,5,6,6,1,1,5,3,3,1,3
264.75,2,2,4,6,6,4,1,1,4,3,5,6,3
264.75,3,3,3,4,6,5,1,1,3,6,2,2,4
175.54,3,6,3,4,6,5,1,1,3,2,5,4,3
214.77,2,2,4,6,6,4,1,1,5,2,3,1,3
264.75,3,2,4,4,6,4,1,1,3,5,4,3,4
264.75,2,6,4,5,6,3,1,1,3,2,2,4,5
164.78,2,4,4,6,6,2,2,1,5,2,0,1,3
264.75,3,4,4,4,6,5,1,1,3,6,3,4,4
264.75,4,4,3,3,2,6,1,1,2,2,6,6,4
264.75,3,6,3,4,6,3,1,1,3,2,5,6,0
264.75,3,3,3,4,3,6,1,1,3,4,2,3,3
239.76,3,5,4,4,4,6,1,1,3,2,5,2,5
164.78,3,1,4,5,6,1,1,1,3,3,2,1,5
264.75,3,1,4,4,5,5,1,1,4,5,5,4,5
264.75,3,3,4,4,6,4,1,1,3,4,3,1,2
264.75,2,5,4,6,6,5,1,1,4,2,3,5,1
264.75,3,5,4,4,3,6,1,1,3,2,5,5,6
164.78,3,3,3,4,3,6,1,1,3,4,2,2,4
264.75,3,2,4,4,3,6,1,1,5,3,2,4,3
197.84,3,6,3,4,6,6,1,1,3,3,4,5,0
264.75,2,4,4,5,6,5,1,1,5,2,2,0,4
175.54,2,3,3,6,6,0,1,1,5,2,1,1,5
172.85,2,6,3,6,6,1,1,2,4,1,4,1,3
264.75,2,3,4,6,6,2,1,1,5,2,2,1,3
264.75,3,2,4,4,5,6,1,1,4,6,4,5,3
164.78,2,3,3,6,6,2,1,1,5,2,1,0,4
239.76,3,3,4,4,6,3,1,1,3,2,2,1,5
164.78,2,1,3,5,6,3,2,1,3,3,5,5,0
264.75,2,6,4,5,6,5,1,1,4,2,4,5,1
242.45,2,1,4,6,6,1,1,2,4,2,4,3,0
264.75,3,3,4,4,5,6,1,1,4,2,4,2,3
197.84,4,4,4,3,2,3,1,1,4,4,2,5,4
264.75,3,2,3,4,3,5,1,1,3,3,4,5,3
97.01,3,1,4,4,6,3,1,1,3,5,3,4,0
175.54,3,5,4,4,5,3,1,1,2,2,0,1,3
214.76,3,4,4,3,3,3,1,1,4,4,3,3,6
264.75,3,3,4,4,3,5,1,1,4,5,5,5,3
264.75,2,5,4,6,6,3,1,1,4,2,4,1,5
264.75,3,4,4,5,5,6,1,1,5,2,4,3,2
175.54,3,2,4,4,4,3,1,1,3,4,4,0,4
242.45,3,5,4,3,3,6,1,1,3,3,5,3,5
264.75,3,4,4,5,4,6,1,1,4,5,3,5,4
264.75,3,3,3,4,5,6,1,1,3,3,4,5,3
264.75,2,4,4,6,6,5,1,1,3,2,5,3,1
175.54,3,0,4,4,6,2,1,1,3,4,3,5,6
264.75,4,6,4,3,3,2,1,1,2,2,1,1,3
264.75,3,5,3,3,3,0,1,1,2,2,6,6,4
0.19,3,0,3,4,4,6,1,1,3,1,5,6,2
264.75,2,3,4,6,6,3,1,1,5,2,1,2,3
164.78,3,2,4,5,6,2,2,2,4,2,0,0,1
189.77,2,0,4,6,6,2,1,1,4,2,2,4,0
264.75,2,4,4,5,6,0,1,1,4,3,2,4,2
164.78,3,0,3,4,5,1,1,1,3,1,6,6,0
264.75,4,5,3,2,2,5,1,1,2,2,6,6,3
220.15,2,6,4,5,6,5,1,1,4,2,2,4,5
170.16,3,0,4,4,6,3,1,1,3,3,2,3,4
167.47,2,5,4,5,6,4,1,1,4,4,5,6,1
220.15,2,6,4,6,6,3,1,1,5,2,4,1,1
239.76,3,6,3,4,4,6,1,1,3,2,5,6,1
18.48,2,2,3,6,6,0,3,1,5,2,1,2,2
264.75,3,5,4,4,6,6,1,1,5,2,4,4,3
170.16,3,1,4,4,6,1,1,1,3,4,3,3,0
264.75,3,3,4,4,3,5,1,1,3,4,3,3,5
264.75,2,4,4,5,6,5,1,1,3,2,4,1,3
264.75,3,2,3,4,3,6,1,1,4,5,2,1,3
164.78,2,6,4,6,6,3,1,1,5,2,0,1,2
264.75,3,4,4,3,3,6,1,1,3,4,2,4,3
264.75,2,5,3,6,6,2,1,1,5,2,1,1,3
189.95,3,1,3,5,6,0,1,1,3,4,2,4,0
214.77,4,1,3,3,3,4,1,1,3,2,5,6,3
231.45,2,3,4,5,6,5,1,1,4,2,2,4,3
264.75,2,2,4,6,6,3,1,1,5,2,0,2,3
239.76,2,4,4,5,6,6,1,1,3,2,5,5,5
175.54,3,3,4,4,4,5,1,1,3,3,3,5,6
175.54,3,4,4,3,3,5,1,1,3,3,1,4,5
264.75,3,4,4,3,3,4,1,1,3,4,5,5,6
197.84,3,6,4,4,6,3,1,1,3,4,4,5,6
170.16,3,2,4,4,6,2,1,1,3,4,2,3,5
214.77,3,3,4,4,6,2,1,1,3,3,0,3,4
239.76,2,4,4,5,6,4,1,1,5,2,1,1,3
195.15,3,5,4,5,6,4,1,1,3,5,4,1,3
175.54,3,1,4,4,6,4,1,1,3,5,4,1,4
167.47,2,5,4,5,6,5,1,1,5,2,4,3,3
264.75,2,6,4,6,6,3,1,1,5,1,4,5,2
264.75,2,6,4,5,6,6,1,1,5,3,1,4,2
175.54,3,1,4,4,5,3,1,1,4,5,5,5,1
264.75,3,5,4,5,6,5,1,1,5,3,1,1,4
264.75,2,5,4,5,6,4,1,1,5,2,2,2,4
239.76,3,5,4,4,4,6,1,1,3,2,4,2,4
264.75,3,3,4,5,5,5,1,1,4,2,4,5,2
220.15,2,3,5,5,5,4,1,1,5,3,3,3,2
264.75,2,3,4,6,6,5,1,1,4,3,5,6,1
170.16,2,1,4,6,6,3,1,1,5,2,0,2,2
164.78,2,2,3,6,6,2,2,1,6,1,0,0,0
